id,wave,gender,age,system_known,digital_confidence,sus_01,sus_02,sus_03,sus_04,sus_05,sus_06,sus_07,sus_08,sus_09,sus_10,sus_score,finished
P069,wave2,f,20,yes,2.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,75.0,1.0
P070,wave2,f,19,yes,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,45.0,1.0
P071,wave2,f,19,yes,2.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,37.5,1.0
P072,wave2,f,20,yes,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,40.0,1.0
P073,wave2,m,19,yes,1.0,5.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,2.0,15.0,1.0
P074,wave2,f,23,no,1.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,57.5,1.0
P075,wave2,f,19,no,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,42.5,1.0
P076,wave2,f,20,no,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,72.5,1.0
P077,wave2,f,18,no,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,52.5,1.0
P078,wave2,f,20,yes,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,5.0,70.0,1.0
P079,wave2,f,20,yes,2.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,82.5,1.0
P080,wave2,f,23,yes,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,40.0,1.0
P081,wave2,m,20,yes,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,35.0,1.0
P082,wave2,f,22,yes,2.0,2.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,72.5,1.0
P083,wave2,f,19,yes,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,65.0,1.0
P084,wave2,f,20,yes,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,87.5,1.0
P085,wave2,f,20,yes,2.0,3.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,2.0,5.0,75.0,1.0
P086,wave2,f,23,no,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,42.5,1.0
P087,wave2,f,20,no,1.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,60.0,1.0
P088,wave2,f,22,no,2.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,85.0,1.0
P089,wave2,na,,na,4.0,,,,,,,,,,,,0.0
P090,wave2,f,20,yes,2.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,2.0,60.0,1.0
P091,wave2,f,19,yes,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,40.0,1.0
P092,wave2,f,20,yes,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,57.5,1.0
P093,wave2,f,19,no,1.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,27.5,1.0
P094,wave2,f,22,yes,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,45.0,1.0
P095,wave2,f,19,no,1.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,5.0,70.0,1.0
P096,wave2,f,19,yes,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,1.0
P097,wave2,f,21,yes,2.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,,3.0,,1.0
P098,wave2,m,21,no,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,52.5,1.0
P099,wave2,m,25,yes,1.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,45.0,1.0
P100,wave2,m,42,unsure,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,50.0,1.0
P101,wave2,m,20,yes,2.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,50.0,1.0
P102,wave2,f,20,yes,3.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,72.5,1.0
P103,wave2,f,18,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.0,1.0
P104,wave2,m,21,no,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,37.5,1.0
P105,wave2,f,19,yes,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,42.5,1.0
P106,wave2,m,23,yes,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.0,1.0
P107,wave2,f,20,yes,2.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,62.5,1.0
P108,wave2,f,19,yes,1.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,50.0,1.0
P109,wave2,f,19,no,1.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,45.0,1.0
P110,wave2,f,19,yes,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,50.0,1.0
P111,wave2,na,21,no,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,60.0,1.0
